Customer Name,Email,Joined Date,Region,country,premium_zar,discount_pct,age,active,notes,internal_ref_v2
-,jos@example.za,-,WEST,ZA,3218.19,22%,55,Y,,
Lerato Nkosi,lerato@example.za,29-01-2025,West Cape,ZA,5791.78,6%,61,yes,,
Cape Town Office,naledi@example.za,17/03/2025,West,ZA,"7,578",10%,64,TRUE,,
Sipho Nkosi,sipho@example.za,,EAST,ZA, 7178.40 ,21%,-999,true,VIP​customer,
none,?,"Feb 25, 2024",East,ZA, 2238.70 ,24%,-999,1,,
Naledi Patel,naledi@example.za,"Dec 30, 2024",EAST,ZA,7140.86 ZAR,21%,55,y,,
Lerato Nkosi,lerato@example.za,11/02/2024,west,ZA,null,18%,67,N,,
Sipho Naidoo,sipho@example.za,2024-01-25,south,ZA,"$4,924.60",2%,65,no,,
Ayanda Dlamini,ayanda@example.za,2024-01-25,north,ZA,3379.87 ZAR,2%,62,FALSE,,
JosÃ© Naidoo,?,2025-01-03,south,ZA, 5673.21 ,6%,69,false,,
Sipho Williams,sipho@example.za,23/08/2024,west,ZA,"2,215",11%,34,0,,
﻿Acme  Naidoo,acme@example.za,"Feb 1, 2024",west,ZA,"$8,164.74",16%,28,n,,
Naledi  Williams,naledi@example.za,04/10/2024,EAST,ZA,3043.82 ZAR,12%,60,Y,,
Sipho Dlamini,sipho@example.za,TBD,north,ZA,"$5,471.53",3%,73,yes,,
﻿Acme Patel,acme@example.za,31/01/2024,West,ZA,"4,253",7%,30,TRUE,,
Naledi Nkosi,?,"Aug 17, 2024",SOUTH,ZA,7494.49 ZAR,21%,34,true,,
Ayanda Dlamini,ayanda@example.za,27/10/2024,west,ZA, 5020.03 ,1%,-999,1,,
?,?,2024-01-24,East,ZA, 8792.91 ,5%,37,y,,
Sipho Naidoo,sipho@example.za,2024-09-11,East,ZA,8666.39,19%,34,N,,
null,jos@example.za,31-10-2024,WEST,ZA,6635.06 ZAR,20%,63,no,,
Naledi Nkosi,?,23/03/2024,west,ZA,3252.06 ZAR,9%,28,FALSE,,
Pieter Patel,pieter@example.za,04/01/2024,WEST,ZA, 5198.58 ,16%,55,false,,
﻿Acme Mokoena ,acme@example.za,26-01-2024,WEST,ZA, 8913.68 ,16%,-999,0,,
Jane Smith,jane@example.za,"Feb 15, 2025",north,ZA,"6,397",6%,65,n,,
﻿Acme Dlamini,acme@example.za,"Jun 21, 2024",WEST,ZA,4116.27,23%,72,Y,,
Lerato  Patel,lerato@example.za,02-11-2024,west,ZA,"3,922",17%,35,yes,,
Sipho Naidoo,sipho@example.za,30/03/2024,East,ZA,"$1,092.66",14%,27,TRUE,,
  José Williams,jos@example.za,2024-03-25,East,ZA, 5648.33 ,16%,38,true,,
Lerato  Williams,lerato@example.za,2024-01-19,WEST,ZA,"6,430",15%,76,1,,
Pieter Williams,pieter@example.za,"Mar 22, 2025",EAST,ZA,"$1,269.23",11%,-999,y,,
Naledi Patel,naledi@example.za,20-07-2024,WEST,ZA,"$9,112.67",11%,43,N,,
﻿Acme Mokoena ,acme@example.za,13/04/2024,east,ZA, 5315.23 ,15%,46,no,,
JosÃ© Mokoena ,jos@example.za,28-01-2024,north,ZA,"$1,146.81",0%,25,FALSE,,
  José  Dlamini,jos@example.za,"Mar 14, 2025",East,ZA, 3193.84 ,5%,68,false,,
JosÃ© Dlamini,jos@example.za,"Jun 29, 2024",East,ZA,"9,698",12%,57,0,,
JosÃ©  Nkosi,jos@example.za,"Dec 15, 2024",east,ZA,3247.56,6%,23,n,,
Jane Dlamini,?,12/02/2024,WEST,ZA,"$8,880.84",20%,23,Y,,
﻿Acme Naidoo,acme@example.za,31-07-2024,east,ZA,6963.88,4%,38,yes,,
JosÃ© Nkosi,jos@example.za,28-12-2024,West,ZA, 9095.02 ,22%,63,TRUE,,
﻿Acme  Nkosi,acme@example.za,22/02/2025,EAST,ZA,2849.28,21%,57,true,,
﻿Acme Mokoena ,acme@example.za,01/02/2025,east,ZA,"$4,354.76",0%,9999,1,,
Jane Patel,jane@example.za,"Feb 4, 2024",NORTH,ZA,"5,841",3%,67,y,,
Naledi Patel,naledi@example.za,19-02-2024,West,ZA,"2,930",15%,63,N,,
﻿Acme van der Merwe,acme@example.za,2024-11-15,west,ZA,null,17%,-999,no,,
  José Williams,jos@example.za,07/05/2024,EAST,ZA,1120.71 ZAR,1%,36,FALSE,VIP customer,
﻿Acme Naidoo,acme@example.za,"Jan 16, 2025",west,ZA,6233.62 ZAR,21%,64,false,,
Naledi Nkosi,naledi@example.za,14-07-2024,East,ZA,"$8,086.86",3%,74,0,,
JosÃ© Mokoena ,jos@example.za,2024-07-27,East,ZA,9674.30,12%,57,n,,
Ayanda Smith,ayanda@example.za,30/07/2024,EAST,ZA, 1701.88 ,9%,57,Y,,
Sipho Naidoo,sipho@example.za,"Mar 9, 2024",east,ZA,,22%,37,yes,,
-,jos@example.za,-,WEST,ZA,3218.19,22%,55,Y,,
-,jos@example.za,-,WEST,ZA,3218.19,22%,55,Y,,
-,jos@example.za,-,WEST,ZA,3218.19,22%,55,Y,,
